Calendar_Year,Calendar_Month,Date,Date_Value,Mode,Agency
2025,03,Mar-25,2025.25,Heavy Rail,MBTA
2025,02,Feb-25,2025.17,Heavy Rail,MBTA
2025,02,Feb-25,2025.17,All Bus,MBTA
2025,02,Feb-25,2025.17,Commuter Rail,MBTA
2025,05,May-25,2025.42,All Bus,MBTA
2025,05,May-25,2025.42,Commuter Rail,MBTA
2025,04,Apr-25,2025.33,Heavy Rail,MBTA
2024,12,Dec-24,2025.00,Heavy Rail,MBTA
2024,12,Dec-24,2025.00,All Bus,MBTA
2024,12,Dec-24,2025.00,Commuter Rail,MBTA
2024,11,Nov-24,2024.92,Heavy Rail,MBTA
2024,11,Nov-24,2024.92,All Bus,MBTA
2024,11,Nov-24,2024.92,Commuter Rail,MBTA
2024,07,Jul-24,2024.58,Heavy Rail,MBTA
2024,07,Jul-24,2024.58,All Bus,MBTA
2024,07,Jul-24,2024.58,Commuter Rail,MBTA
2024,09,Sep-24,2024.75,Heavy Rail,MBTA
2024,09,Sep-24,2024.75,All Bus,MBTA
2024,09,Sep-24,2024.75,Commuter Rail,MBTA
2024,05,May-24,2024.42,Heavy Rail,MBTA
2024,05,May-24,2024.42,All Bus,MBTA
2024,05,May-24,2024.42,Commuter Rail,MBTA
2024,08,Aug-24,2024.67,Heavy Rail,MBTA
2024,08,Aug-24,2024.67,All Bus,MBTA
2024,08,Aug-24,2024.67,Commuter Rail,MBTA
2024,06,Jun-24,2024.50,Heavy Rail,MBTA
